YEAR,WEEK,TEAM_NAME,QB_NAME,QB_SCORE,RB_NAME,RB_SCORE,RB_NAME,RB_SCORE,WR_NAME,WR_SCORE,WR_NAME,WR_SCORE,TE_NAME,TE_SCORE,DST_NAME,DST_SCORE,FLEX_NAME,FLEX_POS,FLEX_SCORE
2013,1,Ozair Ferozuddin,Cam Newton,12,Ray Rice,16,Ben Tate,6,Torrey Smith,11,Mike Wallace,1.5,Jared Cook,27.5,Texans D/ST,11,Giovani Bernard,rb,2.5
2013,2,Ozair Ferozuddin,Cam Newton,16,Ray Rice,2.5,Giovani Bernard,17.5,Torrey Smith,11.5,Anquan Boldin,0.5,Jared Cook,1.5,Texans D/ST,8,Mike Wallace,wr,21.5
2013,3,Ozair Ferozuddin,Philip Rivers,11,Ben Tate,4.5,Giovani Bernard,17,DeAndre Hopkins,9,Anquan Boldin,8.5,Jared Cook,6.5,Texans D/ST,4,Mike Wallace,wr,3
2013,4,Ozair Ferozuddin,Philip Rivers,28,Ray Rice,1,Giovani Bernard,9,Torrey Smith,24.5,Anquan Boldin,17.5,Jared Cook,6,Cardinals D/ST,13,Donnie Avery,wr,3
2013,5,Ozair Ferozuddin,Philip Rivers,20,Ray Rice,22,Giovani Bernard,5,Torrey Smith,15,Anquan Boldin,3,Jared Cook,3.5,Cardinals D/ST,21,Mike Wallace,wr,13.5
2013,6,Ozair Ferozuddin,Cam Newton,30,Ray Rice,5.5,Giovani Bernard,18,DeAndre Hopkins,3.5,Torrey Smith,1.5,Jared Cook,5,Texans D/ST,0,Anquan Boldin,wr,3.5
2013,7,Ozair Ferozuddin,Philip Rivers,15,Ray Rice,8,Ben Tate,6,Torrey Smith,7.5,Mike Wallace,10.5,Jared Cook,5,Texans D/ST,7,Giovani Bernard,rb,7.5
2013,8,Ozair Ferozuddin,Cam Newton,27,Giovani Bernard,1.5,Brandon Bolden,9,Anquan Boldin,7,Mike Wallace,5.5,Jared Cook,4.5,Cardinals D/ST,17,Joseph Fauria,te,0
2013,9,Ozair Ferozuddin,Philip Rivers,18,Ray Rice,4.5,Giovani Bernard,23,Torrey Smith,9.5,Mike Wallace,11,Jared Cook,10.5,Texans D/ST,6,Brandon Bolden,rb,3
2013,10,Ozair Ferozuddin,Philip Rivers,12,Ben Tate,6.5,Giovani Bernard,18,DeAndre Hopkins,9,Anquan Boldin,3.5,Jared Cook,1.5,Texans D/ST,9,Mike Wallace,wr,3
