YEAR,WEEK,TEAM_NAME,QB_NAME,QB_SCORE,RB_NAME,RB_SCORE,RB_NAME,RB_SCORE,WR_NAME,WR_SCORE,WR_NAME,WR_SCORE,TE_NAME,TE_SCORE,DST_NAME,DST_SCORE,FLEX_NAME,FLEX_POS,FLEX_SCORE
2013,1,Chandler Dalton,Matt Ryan,19,Ryan Mathews,12,Adrian Peterson,30,Greg Jennings,4.5,DeSean Jackson,19.5,Jordan Cameron,20.5,Seahawks D/ST,12,Steve Smith,wr,14
2013,2,Chandler Dalton,Matt Ryan,22,Ryan Mathews,5.5,Adrian Peterson,8.5,DeSean Jackson,29.5,Vincent Brown,4,Jordan Cameron,11.5,Seahawks D/ST,23,Steve Smith,wr,7.5
2013,3,Chandler Dalton,Matt Ryan,15,Ryan Mathews,5,Adrian Peterson,17,Greg Jennings,5.5,DeSean Jackson,7.5,Jordan Cameron,27,Seahawks D/ST,12,Steve Smith,wr,5.5
2013,4,Chandler Dalton,Matt Ryan,24,Ryan Mathews,12,Adrian Peterson,26,Michael Floyd,10.5,DeSean Jackson,4,Jordan Cameron,20,Seahawks D/ST,16,Robert Meachem,wr,0
2013,5,Chandler Dalton,Matt Ryan,18,Ryan Mathews,0,Maurice Jones-Drew,9,DeSean Jackson,22.5,Steve Smith,8,Jordan Cameron,4.5,Seahawks D/ST,11,Chris Givens,wr,2
2013,6,Chandler Dalton,Geno Smith,4,Adrian Peterson,9.5,Maurice Jones-Drew,14,Greg Jennings,6,DeSean Jackson,21,Jordan Cameron,8.5,Seahawks D/ST,12,Steve Smith,wr,10.5
2013,7,Chandler Dalton,Matt Ryan,22,Adrian Peterson,5,Joseph Randle,9.5,Greg Jennings,6,DeSean Jackson,3.5,Jordan Cameron,14.5,Seahawks D/ST,15,Steve Smith,wr,14.5
2013,8,Chandler Dalton,Matt Ryan,9,Adrian Peterson,15.5,Joseph Randle,4.5,DeSean Jackson,10,Steve Smith,6,Jordan Cameron,10,Seahawks D/ST,11,Harry Douglas,wr,18
2013,9,Chandler Dalton,Matt Ryan,6,Donald Brown,4,Adrian Peterson,24.5,DeSean Jackson,23.5,Steve Smith,7,Jordan Cameron,0.5,Seahawks D/ST,2,Harry Douglas,wr,9.5
2013,10,Chandler Dalton,Christian Ponder,13,Adrian Peterson,20,Maurice Jones-Drew,15,Greg Jennings,2.5,DeSean Jackson,16,Timothy Wright,1.5,Seahawks D/ST,10,Jerricho Cotchery,wr,10
