YEAR,WEEK,TEAM_NAME,QB_NAME,QB_SCORE,RB_NAME,RB_SCORE,RB_NAME,RB_SCORE,WR_NAME,WR_SCORE,WR_NAME,WR_SCORE,TE_NAME,TE_SCORE,DST_NAME,DST_SCORE,FLEX_NAME,FLEX_POS,FLEX_SCORE
2013,1,Peter Condie,Aaron Rodgers,24,Vick Ballard,6.5,Maurice Jones-Drew,4,Victor Cruz,31.5,Hakeem Nicks,13.5,Greg Olsen,7.5,Vikings D/ST,2,Steven Jackson,rb,13.5
2013,2,Peter Condie,Aaron Rodgers,37,Vick Ballard,0,Maurice Jones-Drew,2.5,Victor Cruz,15,Hakeem Nicks,10,Greg Olsen,17.5,Vikings D/ST,20,Steven Jackson,rb,6.5
2013,3,Peter Condie,Aaron Rodgers,11,Da'Rel Scott,2,Bilal Powell,15,Nate Washington,17,Victor Cruz,3.5,Greg Olsen,7,Vikings D/ST,8,Hakeem Nicks,wr,0
2013,4,Peter Condie,EJ Manuel,4,Maurice Jones-Drew,2.5,Bilal Powell,11.5,Nate Washington,24,Victor Cruz,27,Scott Chandler,3,Vikings D/ST,8,Hakeem Nicks,wr,4.5
2013,5,Peter Condie,Aaron Rodgers,14,Bilal Powell,3.5,n/a,0,Nate Washington,4.5,Victor Cruz,6.5,Greg Olsen,9.5,Dolphins D/ST,12,Hakeem Nicks,wr,18.5
2013,6,Peter Condie,Aaron Rodgers,16,Le'Veon Bell,6.5,Bilal Powell,6.5,Nate Washington,1.5,Victor Cruz,8,Greg Olsen,2,Cowboys D/ST,14,Hakeem Nicks,wr,9
2013,7,Peter Condie,Aaron Rodgers,23,Le'Veon Bell,9.5,Bilal Powell,0,Nate Washington,7.5,Victor Cruz,7.5,Greg Olsen,6,Vikings D/ST,14,Hakeem Nicks,wr,3
2013,8,Peter Condie,Aaron Rodgers,22,Le'Veon Bell,12.5,Steven Jackson,1.5,Victor Cruz,11.5,Hakeem Nicks,8.5,Greg Olsen,9.5,Cowboys D/ST,6,Bilal Powell,rb,5
2013,9,Peter Condie,Aaron Rodgers,1,Le'Veon Bell,15,Steven Jackson,7.5,Victor Cruz,0,Hakeem Nicks,0,Greg Olsen,14,Cowboys D/ST,13,Bilal Powell,rb,2
2013,10,Peter Condie,EJ Manuel,9,Le'Veon Bell,15.5,Steven Jackson,2.5,Victor Cruz,4.5,Hakeem Nicks,6,Greg Olsen,1.5,Dolphins D/ST,6,Scott Chandler,te,3.5
2013,11,Peter Condie,EJ Manuel,17,Andre Brown,9.5,Le'Veon Bell,10,Victor Cruz,15,Hakeem Nicks,7,Greg Olsen,13.5,Dolphins D/ST,4,Scott Chandler,te,5
2013,12,Peter Condie,EJ Manuel,0,Andre Brown,17,Le'Veon Bell,10,Victor Cruz,1,Hakeem Nicks,0,Greg Olsen,11.5,Dolphins D/ST,9,Scott Chandler,te,0
2013,13,Peter Condie,Josh McCown,22,Andre Brown,18.5,Le'Veon Bell,22.5,Victor Cruz,11,Donnie Avery,2,Greg Olsen,10.5,Dolphins D/ST,17,Scott Chandler,te,6
2014,1,Peter Condie,Tony Romo,9.2,Marshawn Lynch,24.9,Reggie Bush,9.4,Torrey Smith,6.5,Brandon Marshall,15.1,Greg Olsen,18.3,Patriots D/ST,5,C.J. Spiller,rb,13.9
2014,2,Peter Condie,Tony Romo,11,Marshawn Lynch,14.3,Reggie Bush,4.2,DeAndre Hopkins,9.7,Torrey Smith,1.5,Greg Olsen,10.2,Patriots D/ST,27,Brandon Marshall,wr,25.3
2014,3,Peter Condie,Kirk Cousins,27.6,Marshawn Lynch,26.3,Chris Ivory,11.6,DeAndre Hopkins,14.6,Brandon Marshall,1.1,Greg Olsen,15.4,Patriots D/ST,7,C.J. Spiller,rb,7.7
2014,4,Peter Condie,Kirk Cousins,5.5,Chris Ivory,11,Reggie Bush,8.5,DeAndre Hopkins,14.9,Brandon Marshall,8.9,Greg Olsen,4,Patriots D/ST,-4,C.J. Spiller,rb,9.9
2014,5,Peter Condie,Kirk Cousins,19.7,Marshawn Lynch,20.2,Chris Ivory,4.4,DeAndre Hopkins,9.3,Brandon Marshall,5.9,Greg Olsen,22.2,Patriots D/ST,14,C.J. Spiller,rb,4.8
2014,6,Peter Condie,Kirk Cousins,16.2,Andre Williams,5.9,Marshawn Lynch,6.7,DeAndre Hopkins,1.7,Mohamed Sanu,23,Greg Olsen,15.2,Patriots D/ST,11,Brandon Marshall,wr,14.3
2014,7,Peter Condie,Kirk Cousins,1.6,Andre Williams,5.1,Marshawn Lynch,8.1,Torrey Smith,15.6,Mohamed Sanu,6.9,Greg Olsen,14.5,Patriots D/ST,2,Brandon Marshall,wr,7.8
2014,8,Peter Condie,Tony Romo,12.5,Marshawn Lynch,6.9,Chris Ivory,16.3,Torrey Smith,0,Mohamed Sanu,17.7,Greg Olsen,2.1,Patriots D/ST,12,Brandon Marshall,wr,5
2014,9,Peter Condie,Carson Palmer,19.8,Marshawn Lynch,28.8,Chris Ivory,2.2,DeAndre Hopkins,20.5,Torrey Smith,14.3,Greg Olsen,4.5,Patriots D/ST,6,Mohamed Sanu,wr,18.4
2014,10,Peter Condie,Carson Palmer,7.7,Marshawn Lynch,40.8,Chris Ivory,5.1,Torrey Smith,16,Mohamed Sanu,3,Greg Olsen,14.9,Cowboys D/ST,11,Brandon Marshall,wr,21.2
2014,11,Peter Condie,n/a,0,Marshawn Lynch,13,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,n/a,0
2014,12,Peter Condie,Tony Romo,24.8,Marshawn Lynch,9.7,Chris Ivory,5.3,DeAndre Hopkins,6.4,Torrey Smith,12.3,Marcedes Lewis,0,Patriots D/ST,7,Brandon Marshall,wr,4.7
2015,1,Peter Condie,Peyton Manning,4.9,Marshawn Lynch,14.9,Chris Ivory,22.5,Brandin Cooks,7.3,Brandon Marshall,15.2,Heath Miller,12.4,Bills D/ST,9,Jordan Cameron,te,9.3
2015,2,Peter Condie,Peyton Manning,20.2,Marshawn Lynch,7.7,Chris Ivory,7,Brandon Coleman,4.8,Brandin Cooks,8.3,Heath Miller,10.5,Bills D/ST,-3,Brandon Marshall,wr,19.6
2015,3,Peter Condie,Cam Newton,29.9,Karlos Williams,17,Marshawn Lynch,2.8,Torrey Smith,0,Brandin Cooks,11.4,Heath Miller,2.7,Bills D/ST,14,Brandon Marshall,wr,19.9
2015,4,Peter Condie,Cam Newton,16.1,Karlos Williams,14.5,Chris Ivory,22.6,Marvin Jones,1.5,Brandin Cooks,4.5,Jordan Cameron,2.9,Bills D/ST,3,Brandon Marshall,wr,16.3
2015,5,Peter Condie,Peyton Manning,6.6,Theo Riddick,16.3,Charles Sims,15.6,Willie Snead,17.1,Torrey Smith,5.2,Richard Rodgers,7.5,Bills D/ST,9,Brandin Cooks,wr,19.2
2015,6,Peter Condie,Peyton Manning,9.6,Theo Riddick,9.3,Chris Ivory,27.1,Willie Snead,7.5,Brandin Cooks,6.1,Richard Rodgers,4.4,Bills D/ST,-2,Brandon Marshall,wr,18.6
2015,7,Peter Condie,Cam Newton,13.9,Marshawn Lynch,18.2,Chris Ivory,12.3,Willie Snead,4,Brandon Marshall,8.7,Jordan Cameron,3.3,Bills D/ST,11,Charles Sims,rb,5.6
2015,8,Peter Condie,Cam Newton,18,Marshawn Lynch,9.2,Chris Ivory,5.6,Marvin Jones,2.4,Brandin Cooks,23.5,Richard Rodgers,2.6,Bears D/ST,3,Brandon Marshall,wr,15.3
2015,9,Peter Condie,Cam Newton,33.6,Chris Ivory,18.3,Charles Sims,6.7,Marvin Jones,10.3,Brandin Cooks,15.1,Heath Miller,4.7,Bills D/ST,6,Brandon Marshall,wr,12.4
2015,10,Peter Condie,Cam Newton,21,Marshawn Lynch,11.5,Chris Ivory,12.5,Marvin Jones,5.6,Brandin Cooks,25.4,Richard Rodgers,11.7,Bears D/ST,10,Brandon Marshall,wr,9.8
2015,11,Peter Condie,Cam Newton,31.4,Fred Jackson,3.2,Karlos Williams,1.1,Marvin Jones,8,Brandon Marshall,13.2,Richard Rodgers,2.2,Chiefs D/ST,19,Chris Ivory,rb,5
2015,12,Peter Condie,Cam Newton,17.8,Chris Ivory,17.2,Charles Sims,5.4,Marvin Jones,7,Brandin Cooks,6,Richard Rodgers,5,Chiefs D/ST,2,Brandon Marshall,wr,29.6
2016,1,Peter Condie,Cam Newton,21.2,Frank Gore,9.8,Eddie Lacy,8.3,Sammy Watkins,6.3,Jordan Matthews,20.9,Jordan Reed,9.9,Seahawks D/ST,12,n/a,n/a,0
2016,2,Peter Condie,Cam Newton,29.8,Frank Gore,13.8,Eddie Lacy,5,Sammy Watkins,3,Jordan Matthews,10.1,Jordan Reed,9.5,Seahawks D/ST,8,n/a,n/a,0
2016,3,Peter Condie,Cam Newton,13.1,Frank Gore,14.8,Eddie Lacy,11,Jordan Matthews,8.9,Mike Wallace,5.4,Jordan Reed,7.6,Seahawks D/ST,4,n/a,n/a,0
2016,4,Peter Condie,Cam Newton,15.6,Frank Gore,18,Jerick McKinnon,17,Michael Floyd,11.1,Mike Wallace,8.7,Jordan Reed,23.8,Seahawks D/ST,11,n/a,n/a,0
2016,5,Peter Condie,Kirk Cousins,12.3,Frank Gore,8.4,Jerick McKinnon,5.1,Jordan Matthews,8.5,Robert Woods,3.6,Jordan Reed,9.3,Titans D/ST,13,n/a,n/a,0
2016,6,Peter Condie,Cam Newton,27,Frank Gore,11.3,Eddie Lacy,7.6,Jordan Matthews,9,Mike Wallace,11.7,Vernon Davis,12,Titans D/ST,6,n/a,n/a,0
2016,7,Peter Condie,Kirk Cousins,21.5,Frank Gore,16.8,Jerick McKinnon,5.3,Jordan Matthews,2.5,Mike Wallace,17,Vernon Davis,10.9,Seahawks D/ST,9,n/a,n/a,0
2016,8,Peter Condie,Cam Newton,12.8,Frank Gore,13.2,Charcandrick West,7,Jordan Matthews,18,Robert Woods,7,Vernon Davis,11.8,Titans D/ST,3,n/a,n/a,0
2016,9,Peter Condie,Cam Newton,14.6,Frank Gore,20.1,Charcandrick West,8.9,Jordan Matthews,11.8,Robert Woods,21.2,Lance Kendricks,12.5,Seahawks D/ST,4,n/a,n/a,0
2016,10,Peter Condie,Cam Newton,23.8,Jerick McKinnon,4.8,Charcandrick West,2.5,Jordan Matthews,10.3,Mike Wallace,7.9,Lance Kendricks,0.5,Seahawks D/ST,5,n/a,n/a,0
